"LG_Düsseldorf_14d__Zivilkammer_14d_O_4-14";"freq";"simple";"manuel";"comment"
"BGH 18032004 IX ZR 25500";1;"bgh18032004ixzr25500";"BGH 18032004 IX ZR 25500";""
"BGH 28 06 2011 KZR 7510";1;"bgh28062011kzr7510";"BGH 28 06 2011 KZR 7510";""
"BGH 28062011 KZR 7510";4;"bgh28062011kzr7510";"BGH 28062011 KZR 7510";""
"BGH 29051979 KVR 278";1;"bgh29051979kvr278";"BGH 29051979 KVR 278";""
"BGH Kartellsenat 28 06 2011 KZR 7510";1;"bghkartellsenat28062011kzr7510";"BGH Kartellsenat 28 06 2011 KZR 7510";""
"BGHZ 113 11";1;"bghz11311";"BGHZ 113 11";""
"C29504";1;"c29504";"C29504";""
"C29804";1;"c29804";"C29804";""
"EuGH 14022000 C34498";1;"eugh14022000c34498";"EuGH 14022000 C34498";""
"EuGH 20092001 C45399";1;"eugh20092001c45399";"EuGH 20092001 C45399";""
"EuZW 2006 529";1;"euzw2006529";"EuZW 2006 529";""
"EuZW 2012 35";1;"euzw201235";"EuZW 2012 35";""
"Fabian Stancke NZKart 2017 636642 Aufsatz";1;"fabianstanckenzkart2017636642aufsatz";"Fabian Stancke NZKart 2017 636642 Aufsatz";""
"FezerKoos B Kartellkollisionsrecht Schrifttum";1;"fezerkoosbkartellkollisionsrechtschrifttum";"FezerKoos B Kartellkollisionsrecht Schrifttum";""
"GRUR 1998 824 827";1;"grur1998824827";"GRUR 1998 824 827";""
"GRUR 2004 883";1;"grur2004883";"GRUR 2004 883";""
"IPRax 2017 403406 red Leitsatz und Gruende";1;"iprax2017403406redleitsatzundgruende";"IPRax 2017 403406 red Leitsatz und Gruende";""
"Kristina Schreiber GRURPrax 2016 91";1;"kristinaschreibergrurprax201691";"Kristina Schreiber GRURPrax 2016 91";""
"LG Mannheim 04052012 7 O 43611";1;"lgmannheim040520127o43611";"LG Mannheim 04052012 7 O 43611";""
"LG Mannheim 4 05 2012 7 O 43611";1;"lgmannheim40520127o43611";"LG Mannheim 4 05 2012 7 O 43611";""
"NJW 1987 1944";1;"njw19871944";"NJW 1987 1944";""
"NJW 1993 3073";1;"njw19933073";"NJW 1993 3073";""
"NJW 2004 1521 1522";1;"njw200415211522";"NJW 2004 1521 1522";""
"NJW 2010 1072";1;"njw20101072";"NJW 2010 1072";""
"NJWRR 1988 789 790";1;"njwrr1988789790";"NJWRR 1988 789 790";""
"NJWRR 2011 692";1;"njwrr2011692";"NJWRR 2011 692";""
"OLG Duesseldorf 14052008 VI U Kart 1407";1;"olgduesseldorf14052008viukart1407";"OLG Duesseldorf 14052008 VI U Kart 1407";""
"OLG Duesseldorf 29012014 VIU Kart 713";1;"olgduesseldorf29012014viukart713";"OLG Duesseldorf 29012014 VIU Kart 713";""
"OLG Karlsruhe 28012004 6 U 18303";1;"olgkarlsruhe280120046u18303";"OLG Karlsruhe 28012004 6 U 18303";""
"OLG Schleswig 17122010 4 U 17109";1;"olgschleswig171220104u17109";"OLG Schleswig 17122010 4 U 17109";""
"PeterAndreas Brand IPRax 2017 366368";1;"peterandreasbrandiprax2017366368";"PeterAndreas Brand IPRax 2017 366368";""
"Rene Galle NZKart 2016 214220 Aufsatz";1;"renegallenzkart2016214220aufsatz";"Rene Galle NZKart 2016 214220 Aufsatz";""
"So auch LG Mannheim 7 Zivilkammer 4 05 2012 7 O 43611 Kart";1;"soauchlgmannheim7zivilkammer40520127o43611kart";"So auch LG Mannheim 7 Zivilkammer 4 05 2012 7 O 43611 Kart";""
"Verordnung EG Nr 12003";1;"verordnungegnr12003";"Verordnung EG Nr 12003";""
"Verordnung EG Nr 442001";1;"verordnungegnr442001";"Verordnung EG Nr 442001";""
"VI ZR 3309";1;"vizr3309";"VI ZR 3309";""
"VO EG Nr 8642007";1;"voegnr8642007";"VO EG Nr 8642007";""
"XI ZR 11192";1;"xizr11192";"XI ZR 11192";""
"ZoellerGreger ZPO 30 Aufl  253 Rz 14";1;"zoellergregerzpo30aufl253rz14";"ZoellerGreger ZPO 30 Aufl  253 Rz 14";""
